starting_particles 2000
new_particles_per_second 0
texture particles/easter07.tga

scale 0.05
growth 0.01

lifetime_var 2
lifetime 10

gravity 0.0
rotation_speed 4480

starting_velocity_x 0.0
starting_velocity_y 0.0
starting_velocity_z 0.0

velocity_var_x 1
velocity_var_y 1
velocity_var_z 1

starting_frame 1
ending_frame 1
frames_in_image 1

damping 0.05

transparency 255

display_mode 24

emitter_shape plane

plane_x_length 20
plane_y_length 20

wind 0
fade_out 1
collision bounce
light_check never
system_life 12
ignore_sort 1
