starting_particles 20
new_particles_per_second 0
texture particles/chunk.tga

scale 0.025
lifetime 15
gravity 0
growth 0.0

rotation_speed 50.0
starting_velocity_x 1
starting_velocity_y 0.0
starting_velocity_z 0.0

velocity_var_x 1
velocity_var_y 1
velocity_var_z 1

damping 2
transparency 255
system_life 30

emitter_shape plane
plane_x_length 10
plane_y_length 10

rotation_velocity_var_pitch 600
rotation_velocity_var_yaw 600
rotation_velocity_var_roll 600
particle_align none

collision bounce

fade_out 1
fade_in 0
wind 1
smoke 0
