texture particles/leaf05.tga
starting_particles 0
new_particles_per_second 2
scale 0.2
growth 0.0
lifetime 14
lifetime_var 0
gravity 1
rotation_speed 0
starting_velocity_x 0.7
starting_velocity_y 2.0
starting_velocity_z 0.0

velocity_var_x 3.0
velocity_var_y 3.00
velocity_var_z 3.00
damping 0.5
emitter_shape plane
plane_x_length 200
plane_x_length 200
display_mode 32
transparency 255
rotation_velocity_pitch 0
rotation_velocity_yaw 0
rotation_velocity_roll 0
rotation_velocity_var_pitch 600
rotation_velocity_var_yaw 600
rotation_velocity_var_roll 600
particle_align none
light_check every_sort

collision particles/vg_leaves02b.txt
fade_out 0
fade_in 0
wind 1
