// HALF-LIFE SPEECH SYSTEM SENTENCES. Max of 1536 sentences.

// HUMAN GRUNTS
HG_GREN0 sentences/HG_GREN0
HG_GREN1 sentences/HG_GREN1


// Player Alert
HG_ALERT0 sentences/HG_ALERT0
HG_ALERT1 sentences/HG_ALERT1


// Monster Alert
HG_MONST0 sentences/HG_MONST0
HG_MONST1 sentences/HG_MONST1


// Take cover
HG_COVER0 sentences/HG_COVER0
HG_COVER1 sentences/HG_COVER1


// Throw grenade
HG_THROW0 sentences/HG_THROW0
HG_THROW1 sentences/HG_THROW1

 
// Taunt
HG_TAUNT0 sentences/HG_TAUNT0
HG_TAUNT1 sentences/HG_TAUNT1


// Charge
HG_CHARGE0 sentences/HG_CHARGE0
HG_CHARGE1 sentences/HG_CHARGE1


// Idle
HG_IDLE0 sentences/HG_IDLE0
HG_IDLE1 sentences/HG_IDLE1


HG_QUEST0 sentences/HG_QUEST0
HG_QUEST1 sentences/HG_QUEST1 


HG_ANSWER0 sentences/HG_ANSWER0
HG_ANSWER1 sentences/HG_ANSWER1


HG_CLEAR0 sentences/HG_CLEAR0
HG_CLEAR1 sentences/HG_CLEAR1


HG_CHECK0 sentences/HG_CHECK0
HG_CHECK1 sentences/HG_CHECK1

HOLO_PIPEDUCK holo/tr_holo_pipeduck

COMPUTER_BLUE deeoo, juliet got twelve inches from doctor bailey, deeoo

// doors, general
NA0 sentences/NA0
NA1 sentences/NA1
NA2 sentences/NA2
NA3 sentences/NA3
NA4 sentences/NA4
NA5 sentences/NA5
NA6 sentences/NA6
NA7 sentences/NA7
NA8 sentences/NA8
NA9 sentences/NA9
NA10 sentences/NA10
NA11 sentences/NA11
NA12 sentences/NA12
NA13 sentences/NA13
NA14 sentences/NA14
NA15 sentences/NA15
NA16 sentences/NA16
NA17 sentences/NA17
NA18 sentences/NA18
EA0 sentences/EA0
EA1 sentences/EA1
EA2 sentences/EA2
EA3 sentences/EA3
EA4 sentences/EA4
EA5 sentences/EA5
EA6 sentences/EA6
EA7 sentences/EA7
EA8 sentences/EA8

// doors, security lockout
ND0 sentences/ND0
ND1 sentences/ND1
ND2 sentences/ND2
ND3 sentences/ND3
ND4 sentences/ND4
ND5 sentences/ND5
ND6 sentences/ND6
ND7 sentences/ND7
ED0 sentences/ED0
ED1 sentences/ED1
ED2 sentences/ED2
ED3 sentences/ED3
ED4 sentences/ED4
ED5 sentences/ED5
ED6 sentences/ED6

// blast doors
NF0 sentences/NF0
NF1 sentences/NF1
NF3 sentences/NF3
EF0 sentences/EF0
EF1 sentences/EF1
EF3 sentences/EF3

// fire door
NFIRE0 sentences/NFIRE0
EFIRE0 sentences/EFIRE0

// chemical door
NCHEM0 sentences/NCHEM0
ECHEM0 sentences/ECHEM0

// radiation door
NRAD0 sentences/NRAD0
ERAD0 sentences/ERAD0

// generic containment door
NCON0 sentences/NCON0
ECON0 sentences/ECON0

// broken locked door
NG0 sentences/NG0
NG1 sentences/NG1
NG2 sentences/NG2

// maintenance door
NH0 sentences/NH0
NH1 sentences/NH1
EH0 sentences/EH0
EH1 sentences/EH1

// turrets, defensive systems

T0 sentences/T0
T1 sentences/T1
T2 sentences/T2
T3 sentences/T3
T4 sentences/T4
T5 sentences/T5

// warnings

WE0 sentences/WE0
WE1 sentences/WE1
WE2 sentences/WE2
WE3 sentences/WE3

// danger

DR0 sentences/DR0
DR1 sentences/DR1
DR2 sentences/DR2
DR3 sentences/DR3
DR4 sentences/DR4

DC0 sentences/DC0
DC1 sentences/DC1
DC2 sentences/DC2
DC3 sentences/DC3
DC4 sentences/DC4

DB0 sentences/DB0
DB1 sentences/DB1
DB2 sentences/DB2
DB3 sentences/DB3

// training room

TR_A sentences/TR_A 
TR_B sentences/ deeoo TR_B


// HEV Suit

// powerup

HEV_AAx player/pcv_vest
HEV_A0 player/pcv_vest

HEV_A1 fvox/blip
HEV_A2 fvox/blip
HEV_A3 fvox/blip
HEV_A4 fvox/blip
HEV_A5 fvox/blip
HEV_A6 fvox/blip
HEV_A7 fvox/blip
HEV_A8 fvox/blip
HEV_A9 fvox/fuzz
HEV_A10 fvox/fuzz

// medical
HEV_DEAD0 fvox/beep beep, beep beep, beep, beep, flatline

HEV_MED0 fvox/boop

HEV_HEAL0 fvox/boop

HEV_DMG0 fvox/boop

HEV_HLTH0 fvox/beep

HEV_SHOCK fvox/boop
HEV_FIRE fvox/boop

// items
HEV_AIM_ON fvox/blip
HEV_AIM_OFF fvox/blip
HEV_BATTERY fvox/blip
HEV_MEDKIT fvox/blip

HEV_PISTOL fvox/blip
HEV_SHOTGUN fvox/blip
HEV_GRENADE fvox/blip
HEV_ASSAULT fvox/blip
HEV_44PISTOL fvox/blip
HEV_RPG fvox/blip
HEV_SATCHEL fvox/blip
HEV_TRIPMINE fvox/blip
HEV_HORNET fvox/blip
HEV_SQUEEK fvox/blip
HEV_EGON fvox/blip
HEV_GAUSS fvox/blip
HEV_XBOW fvox/blip

HEV_9MM fvox/blip
HEV_44AMMO fvox/blip
HEV_BUCKSHOT fvox/blip
HEV_BOLTS fvox/blip
HEV_RPGAMMO fvox/blip
HEV_AGRENADE fvox/blip
HEV_EGONPOWER fvox/blip

// time

//HEV_C1t sentences/bell HEV_C1t 
//HEV_C13t sentences/bell HEV_C13t

// power levels

HEV_D00 fvox/fuzz
HEV_D01 fvox/fuzz

HEV_0P fvox/fuzz
HEV_1P fvox/fuzz
HEV_2P fvox/fuzz
HEV_3P fvox/fuzz
HEV_4P fvox/fuzz
HEV_5P fvox/fuzz
HEV_6P fvox/fuzz
HEV_7P fvox/fuzz
HEV_8P fvox/fuzz
HEV_9P fvox/fuzz
HEV_10P fvox/fuzz
HEV_11P fvox/fuzz
HEV_12P fvox/fuzz
HEV_13P fvox/fuzz
HEV_14P fvox/fuzz
HEV_15P fvox/fuzz
HEV_16P fvox/fuzz
HEV_17P fvox/fuzz
HEV_18P fvox/fuzz
HEV_19P fvox/fuzz

// weapon/ammo
